Price;Bedrooms;Floorplans;Address
$1,175;;;4500 N Winchester Ave, Chicago IL
$1,350;;;6945 N Ashland Ave, Chicago IL
$1,250;1 Bed;1 floorplan;4920-24 N. Glenwood Ave 1407-13 W. Argyle St, Chicago IL
$1,350+;Studio - 2 Beds;2 floorplans;1319-21 W Carmen Ave, Chicago IL
$750+;Studio - 1 Bed;6 floorplans;5710 N. Winthrop, Chicago IL
$2,700;3 Beds;1 floorplan;1246 W. Devon Ave, Chicago IL
$1,200+;Studio - 1 Bed;2 floorplans;4424-4432 N. WOLCOTT, Chicago IL
$2,800;4 Beds;1 floorplan;1900-1906 W. MONTROSE / 4406 N. WOLCOTT, Chicago IL
$2,500;3 Beds;1 floorplan;4741 N. BEACON, Chicago IL
$835+;Studio - 1 Bed;12 floorplans;5750 N. Kenmore, Chicago IL
$1,365+;2 Beds;5 floorplans;4344-52 N. Winchester Ave, Chicago IL
$1,495+;2 - 3 Beds;3 floorplans;5235-39 N. Winthrop, Chicago IL
$975+;Studio - 1 Bed;7 floorplans;4116-4136.5 N. Sheridan Rd, Chicago IL
$1,095+;Studio - 2 Beds;3 floorplans;5534 N. Kenmore Avenue, Chicago IL
$1,400;;;4613 N Ashland Ave, Chicago IL
$1,700;;;1424 W Lunt Ave, Chicago IL
$1,350;;;1422 W Lunt Ave, Chicago IL
$1,650;;;1418 W Lunt Ave, Chicago IL
$1,650;;;1418 W Lunt Ave, Chicago IL
$1,700;;;1416 W Lunt Ave, Chicago IL
$1,495;;;4513 N Malden St #3D, Chicago IL
$1,200;;;1903 West Ainslie Street, Chicago IL
$1,450;;;N Broadway #2E, Chicago IL
$1,150;1 Bed;1 floorplan;1615-25 W. Columbia Ave., Chicago IL
$1,595;;;4611 N Ashland Ave, Chicago IL
$2,400;;;6426 N Newgard Ave, Chicago IL
$1,274;;;1038 W Bryn Mawr Ave #3, Chicago IL
$2,250;;;1461 W Catalpa Ave #2, Chicago IL
$1,400;;;4250 North Marine Drive #2213, Chicago IL
$1,225;;;5415 N Sheridan Rd, Chicago IL
$925;;;4909 N Glenwood Ave, Chicago IL
$1,100;;;4227 N Paulina St, Chicago IL
$1,080;;;2110 W Ainslie St, Chicago IL
$3,500;;;4436 N Winchester Ave, Chicago IL
$1,016;;;5040 N Kenmore Ave, Chicago IL
$1,201;;;6040 N Sheridan Rd, Chicago IL
$950;;;6347 N Magnolia Ave, Chicago IL
$1,600;;;1640 W Pratt Blvd, Chicago IL
$1,600;;;1644 W Pratt Blvd, Chicago IL
$1,515;;;4407 N Wolcott Ave, Chicago IL
$1,250;;;1916 W Winona St, Chicago IL
$1,375;;;4817 N Wolcott Ave, Chicago IL
$1,595;;;4841 N Wolcott Ave, Chicago IL
$1,550;;;4923 N Hermitage Ave, Chicago IL
$1,750;;;5058 N Winchester Ave, Chicago IL
$1,285;;;5045 N Damen Ave, Chicago IL
$1,500;;;4851 N Damen Ave, Chicago IL
$1,080;;;2100 W Ainslie St, Chicago IL
$1,185;;;4737 N Hermitage Ave, Chicago IL
$870;;;5021 N Damen Ave, Chicago IL
$2,300;;;5202 N Lakewood Ave, Chicago IL
$1,300;;;2001 W Montrose Ave, Chicago IL
$1,200;;;5202 N Lakewood Ave, Chicago IL
$1,300;;;5021 N Winchester Ave, Chicago IL
$1,450;;;4408 N Racine Ave, Chicago IL
$1,345;;;1415 W Hutchinson St, Chicago IL
$1,397;;;5516 N Kenmore Ave, Chicago IL
$1,595;;;1608 W Granville Ave, Chicago IL
$1,175;;;1611 W Thome Ave, Chicago IL
$2,100;;;6110 N Glenwood Ave, Chicago IL
$1,995;;;6639 N Greenview Ave #2, Chicago IL
$995;;;4515 N Malden St #2A, Chicago IL
$2,050;;;6007 N Sheridan Rd #37E, Chicago IL
$1,400;;;7064 N Damen Ave #1, Chicago IL
$950;;;5750 N Sheridan Rd, Chicago IL
$1,300;;;2017 West Farragut Avenue #2, Chicago IL
$800;;;1536 West Elmdale Avenue #3, Chicago IL
$1,075;;;W Montrose Ave, Chicago IL
$1,750;;;4250 N Marine Dr, Chicago IL
$1,070;;;4737 North Hermitage Avenue, Chicago IL
$1,585;;;4233 N Hermitage Ave, Chicago IL
$1,250;;;N Sheridan Rd #2E, Chicago IL
$1,175;;;N Sheridan Rd #3W, Chicago IL
$1,325;;;1435 W Devon Ave #2, Chicago IL
$1,925;;;1554 W Hollywood Ave, Chicago IL
$1,575;;;1554 W Hollywood Ave, Chicago IL
$1,050;;;4614 N Paulina St #102, Chicago IL
$1,695;2 Beds;1 floorplan;4652 N. Sheridan Rd., Chicago IL
$1,995;2 Beds;1 floorplan;4450-52 N. Winchester Ave. / 1947-55 W. Sunnyside Ave., Chicago IL
$1,550;;;6203 N Ravenswood Ave #3, Chicago IL
$1,250+;1 Bed;2 floorplans;4715 N. Malden St., Chicago IL
$1,250+;1 Bed;2 floorplans;4630-32 N Beacon St., Chicago IL
$1,100;1 Bed;1 floorplan;4520-22 N. Lincoln, Chicago IL
$1,550+;2 Beds;2 floorplans;701-03 W Junior Terrace, Chicago IL
$900+;Studio - 1 Bed;3 floorplans;1416-22 W. Hutchinson St, Chicago IL
$785+;Studio - 2 Beds;11 floorplans;4615 N. Malden St, Chicago IL
$1,260;1 Bed;1 floorplan;5440, Chicago IL
$1,650;;;1320 W Lunt Ave, Chicago IL
$1,325;;;1940 West Argyle Street, Chicago IL
$1,250;;;5211 North Glenwood Avenue #G, Chicago IL
$1,550;;;5211 North Glenwood Avenue #1F, Chicago IL
$875;;;1310 W Lunt Ave, Chicago IL
$1,050;;;1310 W Lunt Ave, Chicago IL
$1,095;;;1257 W Lunt Ave, Chicago IL
$825;;;1257 W Lunt Ave, Chicago IL
$1,700;;;4334 North Sheridan Road #1F, Chicago IL
$1,250;;;817 W Lakeside Pl #208, Chicago IL
$890+;Studio;3 floorplans;Winthrop Terrace, Chicago IL
$2,800;;;5807 N Magnolia Ave, Chicago IL
$1,595;;;1817 W Berwyn Ave #2, Chicago IL
$1,050+;1 - 3 Beds;8 floorplans;1642-44 W Morse, Chicago IL
$795+;Studio - 1 Bed;7 floorplans;5417 N. Kenmore, Chicago IL
$1,800;;;4515 N Wolcott Ave, Chicago IL
$1,005+;1 Bed;3 floorplans;5450 N Winthrop Avenue, Chicago IL
$4,750;;;2111 W Sunnyside Ave, Chicago IL
$1,200;;;4960 N Marine Dr #619, Chicago IL
$1,650;;;1908 W Montrose Ave #2, Chicago IL
$2,100;2 Beds;1 floorplan;1607 W. Foster Ave., Chicago IL
$2,100;;;5123 N Kenmore Ave, Chicago IL
$1,025;;;1735 W Pratt Blvd, Chicago IL
$1,225;;;4718 N Hamilton Ave, Chicago IL
$1,400;;;1311 West Granville Avenue, 1st Floor, Chicago IL
$1,400;;;5862 North Ridge Avenue #3, Chicago IL
$1,550;;;6007 North Sheridan Road, Chicago IL
$925;;;1200 W Thorndale Ave #1, Chicago IL
$1,295;;;4525 North Ashland Avenue, Chicago IL
$1,465;1 Bed;1 floorplan;4908-18 N. Glenwood Ave, Chicago IL
$1,495;;;853 W Agatite Ave #1n, Chicago IL
$1,495;;;855 W Agatite Ave #1e, Chicago IL
$1,380;;;4805 N Wolcott Ave, Chicago IL
$1,446;;;4550 N Wolcott Ave, Chicago IL
$1,450;;;1031 W North Shore Ave, Chicago IL
$950;;;1051 W North Shore Ave #1w, Chicago IL
$2,155;;;4334 N Hazel St, Chicago IL
$1,000;;;1712 W Albion Ave #1d, Chicago IL
$1,100;;;1718 W Albion Ave #1a, Chicago IL
$1,020;;;4424 N Seeley Ave, Chicago IL
$1,575;;;7056 N Clark St, Chicago IL
$850;;;4236 N Broadway, Chicago IL
$1,025;;;6021 N Winthrop Ave, Chicago IL
$1,275;;;6021 N Winthrop Ave, Chicago IL
$925;;;1741 W Devon Ave, Chicago IL
$1,175;;;1735 W Bryn Mawr Ave, Chicago IL
$1,620;;;2108 W Ainslie St #1e, Chicago IL
$1,275;;;6029 N Winthrop Ave, Chicago IL
$1,550;;;1519 W Hollywood Ave #1w, Chicago IL
$1,395;;;4427 N Wolcott Ave #1b, Chicago IL
$975;;;6366 N Hermitage Ave, Chicago IL
$1,195;;;6820 N Hamilton Ave, Chicago IL
$1,270;;;4423 N Wolcott Ave #3a, Chicago IL
$1,470;;;4304 N Sheridan Rd, Chicago IL
$1,575;;;1901 W Wilson Ave, Chicago IL
$1,750;;;4919 N Damen Ave #2w, Chicago IL
$1,750;;;2209 W Eastwood Ave #2s, Chicago IL
$1,770;;;2207 W Eastwood Ave #2n, Chicago IL
$1,525;;;4425 N Wolcott Ave #1b, Chicago IL
$960;;;6124 N Winthrop Ave, Chicago IL
$1,705;;;2112 W Ainslie St #2s, Chicago IL
$1,540;;;1907 W Wilson Ave #3a, Chicago IL
$1,550;3 Beds;1 floorplan;1901-13 W. Cullom Ave 4254-56 N. Wolcott Ave, Chicago IL
$1,495;2 Beds;1 floorplan;5005-11 N. Glenwood Ave, Chicago IL
$1,365+;2 Beds;3 floorplans;1463-73 W. Lawrence 4751-61 N. Clark, Chicago IL
$1,350;;;1501 W Wilson Ave, Chicago IL
$825+;Studio - 1 Bed;4 floorplans;4545 N. Beacon St., Chicago IL
$1,650;2 Beds;1 floorplan;5644-54 WEST RIDGE LLC 5644-54 North Ridge, Chicago IL
$2,495;;;1756 W Montrose Ave, Chicago IL
$1,295+;1 - 2 Beds;2 floorplans;4615-27 N. Ashland Ave., Chicago IL
$1,365;;;4904 N Hoyne Ave #2N, Chicago IL
$795+;Studio - 1 Bed;4 floorplans;4706 N Beacon St, Chicago IL
$1,150;1 Bed;1 floorplan;2244 W. Winona Street, Chicago IL
$1,499;2 Beds;1 floorplan;1417 W. Olive, Chicago IL
$2,000;;;6033 N Sheridan Rd #12K, Chicago IL
$1,900;;;6033 N Sheridan Rd #15F, Chicago IL
$1,250;;;4343 N Clarendon Ave #1701, Chicago IL
$1,390;1 Bed;1 floorplan;4339-4349 N. Wolcott, Chicago IL
$1,900+;2 - 4 Beds;2 floorplans;2135-2143 W. AINSLIE, Chicago IL
$1,000;1 Bed;1 floorplan;1740-1754 W. NORTHSHORE / 6702-6710 N. HERMITAGE, Chicago IL
$900;;;N Sheridan Rd #309, Chicago IL
$1,240+;1 Bed;1 floorplan;5000-04 N. Wolcott Ave., Chicago IL
$980;1 Bed;1 floorplan;1958-1966 Ainslie 4901-4907 Damen-60625, Chicago IL
$875;;;4606 N Beacon St #2A, Chicago IL
$1,300;;;6520 N Seeley Ave #1s, Chicago IL
$895;;;5616 N Kenmore Ave #2e, Chicago IL
$2,795;;;1756 W Montrose Ave, Chicago IL
$1,695;;;1353 W Winona St #1, Chicago IL
$900;;;6118 N Sheridan Rd #1206, Chicago IL
$1,275;;;5415 N Sheridan Rd #2907, Chicago IL
$1,300;;;6166 N Sheridan Rd #24b, Chicago IL
$1,350;;;4343 N Clarendon Ave #2708, Chicago IL
$1,600;;;4343 N Clarendon Ave #712, Chicago IL
$1,400;;;6421 N Greenview Ave #3W, Chicago IL
$1,700;;;4607 N Ashland Ave, Chicago IL
$1,250;;;4250 N Marine Dr, Chicago IL
$1,550;;;N Paulina St #GDN, Chicago IL
$1,315;;;4614 N Paulina St #412, Chicago IL
$1,050;;;4641 N Paulina St #305, Chicago IL
$1,480;;;4614 N Paulina St #302, Chicago IL
$1,325;;;N Greenview Ave, Chicago IL
$1,340;;;2100 W Ainslie St #GDN, Chicago IL
$1,075;;;4737 N Hermitage Ave #407, Chicago IL
$1,300;;;6030 N Sheridan Rd #213, Chicago IL
$1,617;;;4242 N. Sheridan #221, Chicago IL
$1,275;;;4242 N. Sheridan #306, Chicago IL
$1,400;;;W Berwyn Ave #GDN, Chicago IL
$895;;;6250 N Winthrop Ave #308, Chicago IL
$1,595;2 Beds;1 floorplan;1623 W. Hollywood, Chicago IL
$1,625;2 Beds;1 floorplan;5211 N. Glenwood St., Chicago IL
$895;Studio;1 floorplan;4866 N. Magnolia, Chicago IL
$1,350;2 Beds;1 floorplan;1706 W. Ainslie, Chicago IL
$1,675;3 Beds;1 floorplan;1465 W. Olive, Chicago IL
$1,425;;;1424 W Lunt Ave, Chicago IL
$2,650;;;4337 N Hazel St, Chicago IL
$1,740;;;921 W Wilson Ave #3W, Chicago IL
$957;;;5516 N Kenmore Ave #302, Chicago IL
$967;;;5516 N Kenmore Ave #404, Chicago IL
$947;;;5516 N Kenmore Ave #406, Chicago IL
$1,175;;;1911 W Foster, Chicago IL
$1,350;;;6420 North Newgard Avenue #3E, Chicago IL
$1,365;;;4258 North Greenview Avenue #1A, Chicago IL
$1,225;;;4747 N Damen Ave, Chicago IL
$1,075;;;4916 North Wolcott Avenue, Chicago IL
$1,295;;;5032 North Winchester Avenue, Chicago IL
$1,425;;;4327 N Hermitage Ave #W2, Chicago IL
$1,350;;;1617 W Rascher Ave, Chicago IL
$1,375;;;6119 North Kenmore Avenue #105, Chicago IL
$1,515;;;4435 N Winchester Ave, Chicago IL
$3,000;;;4833 N Leavitt St, Chicago IL
$1,850;;;1320 W Lunt Ave, Chicago IL
$1,475;;;1320 W Lunt Ave, Chicago IL
$1,200;;;6030N N Sheridan Rd, Chicago IL
$1,250;;;N Sheridan Rd #1E, Chicago IL
$1,575;;;1407 West Winona Street, Chicago IL
$1,375;;;812 W Lakeside Pl #209, Chicago IL
$4,950;;;811 W Agatite Ave #103, Chicago IL
$1,475;;;6157 N Sheridan Rd #21j, Chicago IL
$1,995;;;5003 N Ashland Ave #1E, Chicago IL
$1,520;2 Beds;1 floorplan;6031-6043 N. Paulina, Chicago IL
$1,315;;;4728 N Racine Ave #1E, Chicago IL
$1,995;;;1435 W Carmen Ave, Chicago IL
$1,995;;;1435 W Carmen Ave, Chicago IL
$725;Studio;1 floorplan;1528 W. Morse, Chicago IL
$850+;Studio;1 floorplan;6815 N. Sheridan Rd., Chicago IL
$2,400;;;846 W Lakeside Pl #1w, Chicago IL
$5,200;;;6243 N Magnolia Ave #SFH, Chicago IL
$1,600;;;4343 N Clarendon Ave #1609, Chicago IL
$1,433;;;N Kenmore Ave #312, Chicago IL
$895;Studio;1 floorplan;4405-09 N. Clark Street, Chicago IL
$1,050;;;4411 N Wolcott Ave #2B, Chicago IL
$1,625;;;1429 W Victoria St #3, Chicago IL
$2,775;;;4347 N Hazel St, Chicago IL
$1,875;;;6033 N Sheridan Rd #5D, Chicago IL
$1,250;;;N Sheridan Rd #3E, Chicago IL
$1,300;;;5343 N Damen Ave, Chicago IL
$975;;;6746 N Sheridan Rd #3W, Chicago IL
$975;;;1211 W Elmdale Ave #9, Chicago IL
$1,250;;;6142 N Damen Ave #1f, Chicago IL
$1,650;;;1511 W Cullom Ave #G, Chicago IL
$1,425;;;4355 N Sheridan Rd #1F, Chicago IL
$1,425;;;6302 N Glenwood Ave #1, Chicago IL
$1,300;;;1917 W Winnemac Ave #2, Chicago IL
$1,125;;;1923 W Winnemac Ave #3, Chicago IL
$1,150;;;1923 W Winnemac Ave #1, Chicago IL
$1,150;;;1923 W Winnemac Ave #2, Chicago IL
$1,100;;;1925 W Winnemac Ave #3, Chicago IL
$1,000;;;6171 N Sheridan Rd #505, Chicago IL
$1,365;;;2112 W Ainslie St #3N, Chicago IL
$1,270;;;4242 N. Sheridan #519, Chicago IL
$1,042;;;6119 N Kenmore Ave #408, Chicago IL
$1,415;;;6119 N Kenmore Ave #110, Chicago IL
$1,042;;;6119 N Kenmore Ave #404, Chicago IL
$1,450;;;6127 N Clark St, Chicago IL
$1,850;;;N Bosworth Ave #1, Chicago IL
$950;;;6426 N Ridge Blvd #3f, Chicago IL
$995;1 Bed;1 floorplan;1755 W Albion, Chicago IL
$3,800;Studio;1 floorplan;5111-21 N. Clark St., Chicago IL
$1,095;;;6678 N Olympia Ave, Chicago IL
$1,600;;;6857 N Overhill Ave #1, Chicago IL
$1,400;;;7322 Harlem Ave #1W, Chicago IL
$1,200;;;6817 N Ozark Ave #3D, Chicago IL
$2,500;;;7538 N Odell Ave, Chicago IL
$3,000;;;7731 W Birchwood Ave, Chicago IL
$820+;2 - 3 Beds;2 floorplans;7155 S Green St, Chicago IL
$1,225;;;5941 S Sangamon St #2, Chicago IL
$850;;;7131 S Emerald Ave #3R, Chicago IL
$975;;;7304 S Emerald Ave #F2, Chicago IL
$1,025;;;364 W 59th St #2, Chicago IL
$1,250;;;7354 S Emerald Ave #2, Chicago IL
$1,200;;;1012 W Marquette Rd #2, Chicago IL
$1,600;;;5643 S Green St, Chicago IL
$1,250;;;6147 S Carpenter St #2F, Chicago IL
$1,200;;;5950 S Lowe Ave, Chicago IL
$1,150;;;7138 S Normal Ave #2, Chicago IL
$1,000;;;7307 South Sangamon Street #2, Chicago IL
$1,300;;;5942 S Carpenter St #2F, Chicago IL
$1,500;;;6943 S Stewart Ave, Chicago IL
$1,175;;;6712 S Parnell Ave #2, Chicago IL
$975;;;7304 S Emerald Dr #F2, Chicago IL
$850;;;510 W 75th St, Chicago IL
$1,095+;1 - 2 Beds;2 floorplans;549-607 Sheridan Rd., Chicago IL
$965+;Studio - 1 Bed;2 floorplans;810-32 Dempster/1245 Elmwood, Chicago IL
$1,225;1 Bed;1 floorplan;917-925 Hinman Ave., Chicago IL
$1,680+;Studio - 3 Beds;16 floorplans;AMLI Evanston, Chicago IL
$1,950;;;856 Hinman Ave #2N, Chicago IL
$1,595;;;2752 Hampton Pkwy #L2, Chicago IL
$1,550+;Studio - 2 Beds;7 floorplans;The Link Evanston, Chicago IL
$1,460;1 Bed;1 floorplan;Michigan & Kedzie, Chicago IL
$2,000;;;2637 Stewart Ave #1, Chicago IL
$1,425+;1 - 2 Beds;2 floorplans;532-36 Hinman, Chicago IL
$1,210+;1 - 2 Beds;2 floorplans;1100 Church Street, Chicago IL
$1,480+;2 Beds;1 floorplan;930-36 Judson St., Chicago IL
$2,380;2 Beds;1 floorplan;2500 Green Bay, Chicago IL
$1,975;;;2256 Sherman Ave #2, Chicago IL
$2,500;;;515 Main St #308, Chicago IL
$1,900;;;1224 Chicago Ave #205, Chicago IL
$1,800;;;1740 Oak Ave #707, Chicago IL
$2,025;;;1720 Maple Ave #1470, Chicago IL
$2,950;;;2100 Greenwood St #105, Chicago IL
$2,100;;;807 Davis St #701, Chicago IL
$1,900;;;807 Church St #510, Chicago IL
$1,445;;;507 Lee St #1, Chicago IL
$1,575;;;1006 Hinman Ave #3, Chicago IL
$1,145;;;800 Hinman Ave #204, Chicago IL
$1,245;;;800 Hinman Ave #617, Chicago IL
$1,330;;;800 Hinman Ave #616, Chicago IL
$1,260;;;800 Hinman Ave #717, Chicago IL
$1,150;;;800 Hinman Ave #413, Chicago IL
$1,580;;;800 Hinman Ave #701, Chicago IL
$1,170;;;800 Hinman Ave #604, Chicago IL
$1,280;;;800 Hinman Ave #817, Chicago IL
$1,510;;;800 Hinman Ave #511, Chicago IL
$1,495;;;800 Hinman Ave #411, Chicago IL
$1,500;;;800 Hinman Ave #211, Chicago IL
$1,195;;;800 Hinman Ave #414, Chicago IL
$1,170;;;800 Hinman Ave #313, Chicago IL
$1,410;;;800 Hinman Ave #407, Chicago IL
$1,570;;;800 Hinman Ave #806, Chicago IL
$2,193;;;1890 Maple Ave #1406W, Chicago IL
$3,005;;;1890 Maple Ave #0715E, Chicago IL
$3,180;;;1890 Maple Ave #0605E, Chicago IL
$2,286;;;1890 Maple Ave #1310W, Chicago IL
$2,825;;;1890 Maple Ave #0513W, Chicago IL
$4,168;;;1890 Maple Ave #TH09, Chicago IL
$1,823;;;1890 Maple Ave #PH03W, Chicago IL
$2,271;;;1890 Maple Ave #1108W, Chicago IL
$3,150;;;1890 Maple Ave #0816E, Chicago IL
$2,173;;;1890 Maple Ave #1309W, Chicago IL
$2,271;;;1890 Maple Ave #0909E, Chicago IL
$2,291;;;1890 Maple Ave #1309E, Chicago IL
$4,119;;;1890 Maple Ave #0401E, Chicago IL
$1,733;;;1890 Maple Ave #0508E, Chicago IL
$2,128;;;1890 Maple Ave #0709W, Chicago IL
$2,253;;;1890 Maple Ave #0704E, Chicago IL
$2,236;;;1890 Maple Ave #0408W, Chicago IL
$4,168;;;1890 Maple Ave #TH06, Chicago IL
$2,271;;;1890 Maple Ave #1010W, Chicago IL
$2,123;;;1890 Maple Ave #0606E, Chicago IL
$1,320;;;1031 Dempster Street #E3, Chicago IL
$1,525;;;1031 Dempster Street #E1, Chicago IL
$1,240;;;1311 Oak Ave #X, Chicago IL
$1,900;;;800 Elgin Rd #1416, Chicago IL
$1,445;;;943 Judson Ave #3, Chicago IL
$2,795;;;2257 Ridge Ave #1A, Chicago IL
$2,175;;;1509 Hinman Ave #3W, Chicago IL
$1,405;;;1140 Maple Ave #3, Chicago IL
$1,585;;;1147 Maple Ave #2, Chicago IL
$1,650;;;916 Crain St #2, Chicago IL
$1,560;;;1147 Maple Ave #3, Chicago IL
$1,280;;;1137 Oak Ave #W1, Chicago IL
$1,370;;;1139 Oak Ave #W1, Chicago IL
$1,625;;;1321 Oak Ave #A3, Chicago IL
$1,325;;;1128 Maple Ave #C3, Chicago IL
$1,350;;;536 Hinman Ave #N2, Chicago IL
$1,095;;;551 Sheridan Rd #C1, Chicago IL
$1,095;;;551 Sheridan Rd #C3, Chicago IL
$1,649;;;1008 Hinman Ave #2, Chicago IL
$1,150;;;1654 W Pratt Blvd #3N, Chicago IL
$1,975;;;1337 W Touhy Ave #1N, Chicago IL
$1,235;;;1337 W Touhy Ave #3S, Chicago IL
$1,950;;;1329 W Touhy Ave #3N, Chicago IL
$1,025;;;7437 N Seeley Ave #3, Chicago IL
$1,300;;;7502 N Hoyne Ave #1, Chicago IL
$1,350;;;6748 N Hermitage Ave #2, Chicago IL
$1,701;;;415 Howard St #1204, Chicago IL
$1,762;;;415 Howard St #1711, Chicago IL
$1,678;;;415 Howard St #1210, Chicago IL
$1,676;;;415 Howard St #1805, Chicago IL
$1,701;;;415 Howard St #1404, Chicago IL
$1,924;;;415 Howard St #0801, Chicago IL
$1,904;;;415 Howard St #0501, Chicago IL
$2,499;;;415 Howard St #1716, Chicago IL
$2,389;;;415 Howard St #1616, Chicago IL
$1,375;;;2118 W Birchwood Ave #3, Chicago IL
$1,375;;;7502 N Hoyne Ave #3, Chicago IL
$1,375;;;7510 N Hoyne Ave #3, Chicago IL
$1,465;;;1335 W Touhy Ave #1S, Chicago IL
$1,095;;;7326 N Ridge Blvd #2E, Chicago IL
$1,295;;;1209 W Sherwin Ave #503, Chicago IL
$1,150;;;1245 Elmwood Ave #205, Chicago IL
$1,495;;;601 Sheridan Rd #E2, Chicago IL
$1,025;;;2319 W Chase Ave #2, Chicago IL
$1,595;;;6834 N Hamilton Ave #00, Chicago IL
$995;;;2323 W Chase Ave #3, Chicago IL
$1,025;;;2317 W Chase Ave #2, Chicago IL
$1,020;;;2319 W Chase Ave #1, Chicago IL
$1,485;;;912 Judson Ave #1B, Chicago IL
$1,750;;;914 Judson Ave #X2A, Chicago IL
$1,795;;;914 Judson Ave #3A, Chicago IL
$1,675+;Studio - 3 Beds;20 floorplans;Evanston Place, Chicago IL
$1,120;;;1263 W Pratt Blvd #0, Chicago IL
$900;;;1263 W Pratt Blvd, Chicago IL
$50K;;;326 Essex Rd, Chicago IL
$1,195+;1 - 2 Beds;2 floorplans;7347-65 N. Sheridan Rd, Chicago IL
$1,175+;2 Beds;1 floorplan;1638-46 W. Greenleaf Ave, Chicago IL
$1,020+;1 - 2 Beds;2 floorplans;6415-6425 N. Richmond, Chicago IL
$850+;Studio - 1 Bed;2 floorplans;6825 N. Sheridan Rd, Chicago IL
$1,065+;1 Bed;1 floorplan;4909-21 Church, Chicago IL
$1,275+;2 Beds;1 floorplan;9012-20 Lamon Ave., Chicago IL
$3,200+;3 - 4 Beds;2 floorplans;1702 Hinman, Chicago IL
$1,776+;1 - 3 Beds;10 floorplans;1717 Apartments, Chicago IL
$1,605+;Studio - 2 Beds;13 floorplans;The Park Evanston, Chicago IL
$2,155+;2 Beds;2 floorplans;1509 Hinman, Chicago IL
$1,850+;1 - 2 Beds;3 floorplans;Ten Twenty Grove, Chicago IL
$1,050+;Studio - 3 Beds;6 floorplans;1608 W. Sherwin Avenue, Chicago IL
$2,495;2 Beds;1 floorplan;1121 Greenleaf Ave - 203, Chicago IL
$3,250;3 Beds;1 floorplan;935 Judson Ave, Chicago IL
$1,350;2 Beds;1 floorplan;CDS HARVARD LLC 1216-1226 Harvard Terrace/233 Asbury, Chicago IL
$1,095;1 Bed;1 floorplan;231 Ridge Associates LLC 231-49 N. Ridge/833-5 Case St., Chicago IL
$3,500;;;721 Lamon Ave, Chicago IL
$1,495;;;7445 N Greenview Ave #311, Chicago IL
$1,550;;;8507 St Louis Ave #3, Chicago IL
$1,190;;;6418 N Albany Ave #3W, Chicago IL
$2,115;;;1625 W Morse Ave #4, Chicago IL
$1,250;;;4629 Main St #3A, Chicago IL
$1,170;;;10117 Old Orchard Ct #102, Chicago IL
$1,750;;;1625 W Morse Ave #6, Chicago IL
$2,900;;;7410 Kilbourn Ave, Chicago IL
$1,850;;;8145 N Crawford Ave, Chicago IL
$1,425;;;1540 W Albion Ave #2E, Chicago IL
$3,800;;;2212 Thornwood Ave, Chicago IL
$1,300;;;609 Oakton St #1C, Chicago IL
$1,250;;;609 Oakton St #2D, Chicago IL
$3,475;;;467 Highcrest Dr, Chicago IL
$1,095;;;2241 W Farwell Ave #1D, Chicago IL
$1,500;;;1511 W Jonquil Terrace #FL1, Chicago IL
$2,150;;;6943 N Western Ave, Chicago IL
$7,250;;;247 Chestnut St, Chicago IL
$1,075;;;1712 W Estes Ave #101, Chicago IL
$950;;;1712 W Estes Ave #203, Chicago IL
$1,025;;;1712 W Estes Ave #301, Chicago IL
$1,395;;;4654 Keeney St #2N, Chicago IL
$890;;;7532 N Winchester Ave #B, Chicago IL
$2,400;;;6426 N Newgard Ave #2, Chicago IL
$1,590;;;7532 N Winchester Ave #1, Chicago IL
$1,375;;;7423 N Sheridan Rd #2W, Chicago IL
$1,850;;;7354 N Seeley Ave #3, Chicago IL
$3,600;;;910 Hinman Ave #3S, Chicago IL
$3,500;;;414 Hibbard Rd, Chicago IL
$1,500;;;554 Green Bay Rd #2N, Chicago IL
$5,000;;;429 Hibbard Rd, Chicago IL
$950;;;7120 N Sheridan Rd #313, Chicago IL
$850;;;6948 N Ashland Blvd #2F, Chicago IL
$1,100;;;6819 N Wayne Ave #4, Chicago IL
$825;;;1456 W Fargo Ave #305, Chicago IL
$2,900;;;3119 Lake Ave #E, Chicago IL
$1,550;;;1622 W Columbia Ave #1S, Chicago IL
$1,395;;;815 Seward St #3S, Chicago IL
$980;;;7243 N Western Ave #2RN, Chicago IL
$1,350;;;1600 W Greenleaf Ave #108, Chicago IL
$2,650;;;4454 W Estes Ave, Chicago IL
$4,500;;;412 Gregory Ave, Chicago IL
$1,700;;;7379 N Damen Ave #KB, Chicago IL
$1,575;;;1936 Wesley Ave #2C, Chicago IL
$1,250;;;6457 N Bell Ave #1N, Chicago IL
$1,250;;;1454 W Fargo Ave #3A, Chicago IL
$1,495;;;7451 N Greenview Ave #114, Chicago IL
$1,000;;;2424 W Estes Ave #1G, Chicago IL
$1,100;;;850 Hinman Ave #1, Chicago IL
$1,500;;;6542 N Hoyne Ave #1N, Chicago IL
$1,500;;;6542 N Hoyne Ave #2N, Chicago IL
$950;;;1333 W Pratt Blvd #8, Chicago IL
$1,195;;;7514 N Hoyne Ave #1A, Chicago IL
$1,250;;;1101 W Pratt Blvd #G, Chicago IL
$1,250;;;7361 N Ridge Blvd #3C, Chicago IL
$895;;;7456 N Greenview Ave #2E, Chicago IL
$1,450;;;1345 W Fargo Ave #3W, Chicago IL
$1,400;;;6518 N Glenwood Ave #2S, Chicago IL
