Price;Bedrooms;Floorplans;Address
$1,400;;;6151 N Mozart St #2, Chicago IL
$1,350;;;5946 N Talman Ave #1, Chicago IL
$1,675;;;3858 North Whipple Street #2F, Chicago IL
$1,595;;;3823 N Drake Ave, Chicago IL
$1,400;;;4805 W Irving Park Rd #2, Chicago IL
$1,015;;;4608 N Kildare Ave, Chicago IL
$1,200;;;4237 North Saint Louis Avenue, Chicago IL
$2,700;;;4812 W Montrose Ave #304, Chicago IL
$805;;;W Irving Park Rd #308, Chicago IL
$1,150;;;3760 North Lavergne Avenue #1, Chicago IL
$1,600;2 Beds;1 floorplan;3800-02 W Irving Park Rd / 4004-10 N. Hamlin Ave, Chicago IL
$1,100;;;3750 W Irving Park Rd, Chicago IL
$1,125;1 Bed;1 floorplan;4303-09 N. Campbell 2474-76 W. Cullom, Chicago IL
$1,995;3 Beds;1 floorplan;3829-31 N. Kedzie Ave., Chicago IL
$1,595;;;5020 North California Avenue #1, Chicago IL
$1,350;2 Beds;1 floorplan;5636 5636 N. Kimball Ave, Unit 2, Chicago IL
$1,095;;;3808 W Irving Park Rd, Chicago IL
$1,000;;;5335 North California Avenue #308, Chicago IL
$1,000+;1 - 2 Beds;2 floorplans;North Drake, Chicago IL
$1,500;;;3940 W Dakin St #2, Chicago IL
$1,300;;;4903 W Cullom Ave, Chicago IL
$1,295;;;2854 W Rosemont Ave, Chicago IL
$1,200;;;4248 N Lamon Ave, Chicago IL
$975;;;W Montrose Ave #1B, Chicago IL
$1,600;;;4356 W Wilson Ave #1, Chicago IL
$1,800;;;3663 N Elston Ave #7, Chicago IL
$1,700;;;4741 N Kilpatrick Ave #1, Chicago IL
$950;;;4340 N Francisco Ave #1west, Chicago IL
$900;;;4340 N Francisco Ave #1east, Chicago IL
$625;;;3806 W Irving Park Rd, Chicago IL
$2,050;;;5062 N Kimball Ave, Chicago IL
$1,150;;;4407 N Kenneth Ave #13, Chicago IL
$1,295;;;4043 N Mozart St, Chicago IL
$1,500;;;3422 W Grace St, Chicago IL
$1,150;;;4911 W Cuyler Ave, Chicago IL
$1,155;;;6156 N Talman Ave, Chicago IL
$1,950;;;6316 N Pulaski Rd, Chicago IL
$995;;;4131 W Cullom Ave #C2, Chicago IL
$1,050;;;4552 N Drake Ave #2A, Chicago IL
$995;1 Bed;1 floorplan;3334-3344 W. Ainslie St, Chicago IL
$1,360;;;4746 N Troy St, Chicago IL
$1,295;2 Beds;1 floorplan;4730-44 N Whipple St, Chicago IL
$2,600;;;6142 N Keystone Ave, Chicago IL
$2,050;;;6107 N Washtenaw Ave #1, Chicago IL
$2,500;;;3114 W Irving Park Rd #3E, Chicago IL
$1,700;;;3555 N Milwaukee Ave #1, Chicago IL
$1,015;;;4604 N Kildare Ave, Chicago IL
$1,250;2 Beds;3 floorplans;3438-42 W. Foster, Chicago IL
$1,850;;;4219 N Francisco Ave #3, Chicago IL
$1,850;;;4219 N Francisco Ave #2, Chicago IL
$850;;;4027 W Irving Park Rd, Chicago IL
$925;;;4310 N Pulaski Rd #D2, Chicago IL
$1,150;;;4649 N Elston Ave, Chicago IL
$1,150;;;3604 W Sunnyside Ave, Chicago IL
$775;;;4915 W Belle Plaine Ave, Chicago IL
$2,200;;;W Ainslie St and N Kedzie Ave, Chicago IL
$995;;;4335 N Sacramento Ave, Chicago IL
$1,375;;;3649 N Albany Ave #2R, Chicago IL
$1,295;;;4517 N Hamlin Ave #2, Chicago IL
$1,500;2 Beds;1 floorplan;3801 N Bernard St, Chicago IL
$1,110;1 Bed;1 floorplan;6154-56 North Talman, Chicago IL
$1,295;1 Bed;1 floorplan;4651 N Manor / 4649-63, Chicago IL
$1,895;;;4145 N Milwaukee Ave, Chicago IL
$1,400;;;4843 North Drake Avenue #2, Chicago IL
$1,725;;;4850 North Troy Street, Chicago IL
$1,800;;;4748 N Washtenaw Ave #3, Chicago IL
$1,250;2 Beds;1 floorplan;4324-6 N Bernard St, Chicago IL
$1,025;;;4416 N St Louis Ave, Chicago IL
